system,model,N,M,T_steps,steps,failed,err_max,PASS
SprottC,Persistence,100,30,250000,250000,False,0.009960073424827258,True
SprottC,SINDy,100,30,250000,7919,True,1043.9021882850457,False
SprottC,EDMD,100,30,250000,39627,True,558.7039781761631,False
SprottC,NVAR,100,30,250000,97,True,1818.7877886558347,False
SprottC,LinearStateMap,100,30,250000,250000,False,76.8126418828035,True
Lorenz96,pCHA,100,30,250000,250000,False,0.007308562980692052,True
Lorenz96,Persistence,100,30,250000,250000,False,0.1376706675901092,True
Lorenz96,SINDy,100,30,250000,250000,False,1.1029540629664518,True
Lorenz96,EDMD,100,30,250000,1829,True,7312.492749020266,False
Lorenz96,NVAR,100,30,250000,108,True,1010.3341892340503,False
Lorenz96,LinearStateMap,100,30,250000,250000,False,53.76735779913949,True
HyperJha,pCHA,100,30,250000,250000,False,0.0002622996862248578,True
HyperJha,Persistence,100,30,250000,250000,False,0.04955996861075751,True
HyperJha,SINDy,100,30,250000,952,True,3401.098284390184,False
HyperJha,EDMD,100,30,250000,672,True,212.40870925738045,False
HyperJha,NVAR,100,30,250000,429,True,464.2395892241574,False
HyperJha,LinearStateMap,100,30,250000,250000,False,8.108405779087411,True
HyperYangChen,pCHA,100,30,250000,250000,False,0.0003204071319578042,True
HyperYangChen,Persistence,100,30,250000,250000,False,0.07472774459468219,True
HyperYangChen,SINDy,100,30,250000,1889,True,38.849272719582686,False
HyperYangChen,EDMD,100,30,250000,554,True,329.89583063105215,False
HyperYangChen,NVAR,100,30,250000,521,True,5746.943303080546,False
HyperYangChen,LinearStateMap,100,30,250000,250000,False,7.92245407203186,True
MackeyGlass,pCHA,100,30,250000,250000,False,0.00015469831728763143,True
MackeyGlass,Persistence,100,30,250000,250000,False,0.009957153077365794,True
MackeyGlass,SINDy,100,30,250000,8009,True,331.13855780847405,False
MackeyGlass,EDMD,100,30,250000,7649,True,227.23785718528202,False
MackeyGlass,NVAR,100,30,250000,131,True,177.05226827796338,False
MackeyGlass,LinearStateMap,100,30,250000,250000,False,38.079243731019986,True
IkedaDelay,pCHA,100,30,250000,250000,False,0.004733988813442847,True
IkedaDelay,Persistence,100,30,250000,250000,False,0.035436988794878096,True
IkedaDelay,SINDy,100,30,250000,5098,True,226.59624066024455,False
IkedaDelay,EDMD,100,30,250000,2083,True,604.1109215015373,False
IkedaDelay,NVAR,100,30,250000,107,True,94.15739445714118,False
IkedaDelay,LinearStateMap,100,30,250000,250000,False,103.9405837781335,True
VossDelay,pCHA,100,30,250000,250000,False,0.02302980645803543,True
VossDelay,Persistence,100,30,250000,250000,False,0.22664436868864016,True
VossDelay,SINDy,100,30,250000,12628,True,1307.3070170330675,False
VossDelay,EDMD,100,30,250000,671,True,748.1072382485443,False
VossDelay,NVAR,100,30,250000,583,True,3888.592314926236,False
VossDelay,LinearStateMap,100,30,250000,250000,False,103.4450410020242,True
Finance,pCHA,100,30,250000,250000,False,0.004492081291042738,True
Finance,Persistence,100,30,250000,250000,False,0.07017779990668523,True
Finance,SINDy,100,30,250000,250000,False,3.9258339077318585,True
Finance,EDMD,100,30,250000,15650,True,1496.1731055126336,False
Finance,NVAR,100,30,250000,157,True,14821.440134923072,False
Finance,LinearStateMap,100,30,250000,250000,False,4.453464277714897,True
